id,slug,title,publishedYear,oldestYearFound,olderYearMentions,sample
"2i7iadib5QZf8Z2hekfJbO","jacqueline-edmondson-on-transforming-education-through-innovation","Jacqueline Edmondson on Transforming Education Through Innovation","2025","2022","2","ews began renovations on USM’s historic Academy Building in 2024, they unearthed something unexpected: student writings from the 1800s. Scri"
"2i7iadib5QZf8Z2hekfK1C","stuart-crofts-vision-for-educational-transformation","Stuart Croft's Vision for Educational Transformation","2025","2007","2","nt in how he leads Warwick. Since joining the university in 2007 as Professor of International Security and ascending to his current role in"
"2i7iadib5QZf8Z2hekfL26","stephen-dackins-vision-for-educational-excellence","Stephen Dackin's Vision for Educational Excellence","2025","2023","1","for student success and systemic reform. Appointed in late 2023, Dackin brings not only deep policy experience but also a personal convicti"
"2i7iadib5QZf8Z2hekfLOg","azhan-shafriman-hanifs-strategic-vision","Azhan Shafriman Hanif's Strategic Vision","2025","2020","1","nd business dynamics. When offered the top job at Sepang in 2020, amidst the chaos of a global pandemic, Hanif accepted with equal parts amb"
"2i7iadib5QZf8Z2hekfLeo","harjinder-shergill-chimas-strategic-vision","Harjinder Shergill Chima's Strategic Vision","2025","1984","2","with strategic innovation. Since stepping into the role in 2023, Shergill Chima has redefined what it means to lead a public-facing institu"
"2i7iadib5QZf8Z2hekfLq6","bob-bagbys-vision-for-entertainment-innovation","Bob Bagby's Vision for Entertainment Innovation","2025","1924","1","survive in the modern age—it thrives. Fast Facts: Founded: 1924 Screens: 554 Locations: 58 States: 16 Employees: 1,400+ Signature Inno"
"2i7iadib5QZf8Z2hekfNf0","beyond-compliance-how-cognitive-transformation-drives-sustainable-business-innovation","Beyond Compliance: How Cognitive Transformation Drives Sustainable Business Innovation","2025","1994","1","n CEO Ray Anderson committed to becoming carbon negative in 1994, he wasn't following policy mandates but underwent what he called a ""sudden"
"2i7iadib5QZf8Z2hekfOHi","the-floating-boardroom-how-seine-river-cruises-are-redefining-executive-retreats-in-the-heart-of-paris","The Floating Boardroom: How Seine River Cruises Are Redefining Executive Retreats in the Heart of Paris","2025","2019","1","corporate bookings for their Seine-based experiences since 2019, with executives recognizing the value of conducting business against the b"
"2i7iadib5QZf8Z2hekfkOg","time-management-strategies-for-gen-z-leaders-in-the-modern-workplace","Time Management Strategies for Gen Z Leaders in the Modern Workplace","2025","1997","2","logetic demand for purpose and balance. Gen Z, born between 1997 and 2012, is entering leadership roles with a distinct set of values and ex"
"2i7iadib5QZf8Z2hekfmbm","singapores-leading-sustainable-bars-where-corporate-responsibility-meets-culinary-excellence","Singapore's Leading Sustainable Bars: Where Corporate Responsibility Meets Culinary Excellence","2025","2016","1","s Native Bar, a trailblazer that launched on Amoy Street in 2016. With its bold vision and unapologetic creativity, Native has set the stand"
"2i7iadib5QZf8Z2hekfnT0","new-englands-emerging-markets-strategic-investment-opportunities-for-2024","New England's Emerging Markets: Strategic Investment Opportunities for 2024","2025","2024","3","'s Emerging Markets: Strategic Investment Opportunities for 2024 A Region Rooted in Independence, Ready for the Future New England, a region"
"2i7iadib5QZf8Z2hekfnb4","from-court-to-boardroom-a-champions-business-playbook","From Court to Boardroom - A Champion's Business Playbook","2025","2017","1","invaluable.” Stephens’ rise to fame reached a crescendo in 2017, when she won the US Open — a dream realized and a moment that cemented her"
"2i7iadib5QZf8Z2hekfnso","samantha-tans-strategic-vision-transforms-motorsport-industry-dynamics","Samantha Tan's Strategic Vision Transforms Motorsport Industry Dynamics","2025","2017","6","formation of her own racing team just four years later. In 2017, alongside her father Kenneth, she launched Samantha Tan Racing (STR), a bo"
"2i7iadib5QZf8Z2hekfqic","kearneys-counterintuitive-strategy-slash-product-lines-to-skyrocket-revenue","Kearney's Counterintuitive Strategy: Slash Product Lines to Skyrocket Revenue","2025","2018","1","s, took a radically different path. Upon taking the helm in 2018, he inherited a sprawling portfolio that stretched the company’s resources"
"2i7iadib5QZf8Z2hekfrl8","transforming-naval-heritage-into-premium-maritime-experiences","Transforming Naval Heritage into Premium Maritime Experiences","2025","2002","1","fter years of service, the ship was decommissioned in early 2002. Within weeks, it found a new purpose under private ownership, destined for"
"2i7iadib5QZf8Z2hekfs9K","superyacht-soire-2022-redefining-maritime-luxury-for-elite-executives","Superyacht Soirée 2022: Redefining Maritime Luxury for Elite Executives","2025","2022","2","Superyacht Soirée 2022: Redefining Maritime Luxury for Elite Executives In an era where exclusivit"
"6FGiNia5tWM9A0y142DNeH","bryce-tully","Bryce Tully","2025","2020","2","lture and emotional intelligence drive high performance. In 2020, we launched Innerlogic to bring those principles to the corporate world, c"
"6FGiNia5tWM9A0y146SyqV","dr-basma-ghandourah","Dr. Basma Ghandourah","2025","2016","2","raeus Kulzer Travel Award and IAAM Young Scientist Medal in 2016 recognize my healthcare contributions. My recent designation as an Internat"
"6FGiNia5tWM9A0y146T0bN","john-zangardi","John Zangardi","2025","1989","2","andscape? **John Zangardi:** The fall of the Berlin Wall in 1989 appeared to signal the victory of open democracy and market-driven economic"
"CLZyEnOmHFQ0HoyBtIUFX6","sml-isuzus-strategic-transformation-in-motion","SML Isuzu's Strategic Transformation in Motion","2025","1983","1","service to society. From its origins as Swaraj Vehicles in 1983 to becoming a trusted name in school buses and light commercial vehicles, t"
"CLZyEnOmHFQ0HoyBtIUFgo","twinchok-tanthuwanits-strategic-vision-for-automotive-aviation","Twinchok Tanthuwanit's Strategic Vision for Automotive Aviation","2025","1979","1","egional Container Lines (RCL), a company that began life in 1979 as a modest feeder service provider, Tanthuwanit has steered the organizati"
"CLZyEnOmHFQ0HoyBtIUG4O","r-mohans-strategic-vision-for-automotive-innovation","R Mohan's Strategic Vision for Automotive Innovation","2025","2023","3","d Chennai terminus. We saw a 9.7% drop in ridership between 2023 and 2024. But we believe that with the right communication, infrastructure,"
"CLZyEnOmHFQ0HoyBtIUGBK","sriram-iyer-on-sustainable-palm-oil-innovation","Sriram Iyer on Sustainable Palm Oil Innovation","2025","2020","4","ansparent, and future-ready. Since our last conversation in 2022, PIL has undergone a transformation that places Environmental, Social, and"
"CLZyEnOmHFQ0HoyBtIUGRy","vic-cheungs-vision-for-automotive-innovation","Vic Cheung's Vision for Automotive Innovation","2025","1990","2","his modest beginnings founding a freight forwarding firm in 1990 to joining KLN in 2016, Cheung’s journey is one of resilience, foresight, a"
"CLZyEnOmHFQ0HoyBtIUGaI","xavier-gondauds-vision-for-aviation-innovation","Xavier Gondaud's Vision for Aviation Innovation","2025","2024","1","ment here—it’s embedded in everything we do. Take the Paris 2024 Olympics, for instance. We deployed specialized teams for anti-drone operat"
"CLZyEnOmHFQ0HoyBtIUGhE","ricky-wong-on-commercial-excellence","Ricky Wong on Commercial Excellence","2025","1996","1","entless commitment to commercial excellence. Established in 1996, RWD has become one of Asia’s most respected design firms. From luxury hosp"
"CLZyEnOmHFQ0HoyBtIUGti","jennifer-peabody-on-accountable-agency-growth","Jennifer Peabody on Accountable Agency Growth","2025","2003","1","ndation rooted in data, strategy, and consumer behavior. In 2003, she joined Havas Edge, then a scrappy start-up with big ambitions. Today,"
"CLZyEnOmHFQ0HoyBtIUHVA","isabelle-hannedouche-on-global-expansion-and-strategic-vision","Isabelle Hannedouche on Global Expansion and Strategic Vision","2025","1995","1","ty, and that’s something we’ve embraced. Our early entry in 1995 gave us a strong foundation, but staying relevant means continuous reinvent"
"CLZyEnOmHFQ0HoyBtIUIRQ","curt-crossland-on-construction-innovation","Curt Crossland on Construction Innovation","2025","1978","1","his father, Ivan Crossland Sr., who founded the company in 1978. Known affectionately as “Red Iron,” Ivan instilled a culture that still gu"
"CLZyEnOmHFQ0HoyBtIUJlG","martha-dunagin-saunders-on-educational-innovation","Martha Dunagin Saunders on Educational Innovation","2025","1967","2","ersity of West Florida (UWF), asking her to return home. In 2017, she became UWF’s sixth president — a role she initially envisioned as brie"
"CLZyEnOmHFQ0HoyBtIUKTe","david-prossers-strategic-fitness-revolution","David Prosser's Strategic Fitness Revolution","2025","2001","3","ly days introducing the Fitness First brand to Hong Kong in 2001, to his current role as CEO of Evolution Wellness, Prosser has consistently"
"CLZyEnOmHFQ0HoyBtIUM48","the-oceans-hidden-gem-why-pearl-meat-is-revolutionizing-sustainable-seafood-markets","The Ocean's Hidden Gem: Why Pearl Meat is Revolutionizing Sustainable Seafood Markets","2025","2022","1","e. The International Pearl Meat Association, established in 2022, has introduced standardized grading systems and sustainability certificati"
"CLZyEnOmHFQ0HoyBtLdWiY","charting-a-new-course-jane-frasers-strategic-overhaul-of-citigroup","Charting a New Course: Jane Fraser’s Strategic Overhaul of Citigroup","2025","2004","2","r is reshaping Citigroup for the future. As CEO since March 2021, she has led a sweeping transformation initiative aimed at streamlining ope"
"CLZyEnOmHFQ0HoyBtLdWmi","navigating-uncertainty-evan-greenbergs-strategic-leadership-at-chubb","Navigating Uncertainty: Evan Greenberg’s Strategic Leadership at Chubb","2025","2001","3","respected figure within the global insurance community. In 2001, Greenberg transitioned to ACE Limited, taking on the role of Vice Chairman"
"KGEAgIEt6gkQLdV5lSZFvP","pankaj-bansal","Pankaj Bansal","2025","2010","1","ium Living and Lifestyle Environments M3M India launched in 2010 under the guidance of Founder Chairman Mr. Basant Bansal, along with Promot"
"VzElbecBTke30RM0jLTPMb","rgis-lacotes-olympic-sized-vision-for-automotive-aviation","Régis Lacote's Olympic-Sized Vision for Automotive Aviation","2025","2021","4","is Lacote, Director of Paris-Charles de Gaulle Airport, the 2024 Games became more than a logistical challenge — it was a defining moment to"
"VzElbecBTke30RM0jLTTJu","anthony-tan-on-constructions-digital-transformation","Anthony Tan on Construction's Digital Transformation","2025","2016","1","uts across Singapore. Tan’s journey with Ngai Chin began in 2016 as a Project Executive. Now, nearly a decade later, he leads the charge as"
"VzElbecBTke30RM0jLTUYn","sarada-bhushan-mohanty-on-construction-innovation","Sarada Bhushan Mohanty on Construction Innovation","2025","2016","3","specifically? Sarada Bhushan Mohanty: When I joined IREL in 2022, it was clear that this organization sits at the intersection of strategy,"
"VzElbecBTke30RM0jLTV25","manish-gargs-vertical-vision","Manish Garg's Vertical Vision","2025","1994","4","e and legacy. For Manish Garg, that moment came on 9 August 2021, when he once again stepped through the doors of Interarch Building Solutio"
"VzElbecBTke30RM0jLTVk1","swami-iyers-strategic-vision-for-construction-innovation","Swami Iyer's Strategic Vision for Construction Innovation","2025","1971","3","frontier—indigenous economic development in Alaska. In late 2023, a call from a headhunter marked a turning point. The offer: to lead Cook I"
"VzElbecBTke30RM0jLTWGy","joan-gurdias-vision-for-educational-transformation","Joan Guàrdia's Vision for Educational Transformation","2025","2020","1","mation. Guàrdia, who assumed the role of Rector in December 2020, brings decades of academic excellence and strategic insight to his positio"
"VzElbecBTke30RM0jLTXHD","anders-bjarklevs-vision-for-educational-transformation","Anders Bjarklev's Vision for Educational Transformation","2025","2017","2","but thrived—cementing its position at the top of EngiRank’s 2024 list of Europe’s leading technical universities. Bjarklev, who assumed the"
"VzElbecBTke30RM0jLTXvU","mohammad-dehghani-on-science-and-technology-innovation","Mohammad Dehghani on Science and Technology Innovation","2025","1987","3","ing at Louisiana State University. After earning his PhD in 1987, he launched an academic career that would span continents and institutions"
"VzElbecBTke30RM0jLTZvy","the-gratitude-advantage-how-appreciation-drives-sustainable-business-performance","The Gratitude Advantage: How Appreciation Drives Sustainable Business Performance","2025","2020","1","remarkable resilience during market turbulence. During the 2020 pandemic, companies like Salesforce maintained employee engagement by ampli"
"VzElbecBTke30RM0jLTb3X","the-leadership-evolution-five-transformative-lessons-from-a-quarter-century-of-executive-experience","The Leadership Evolution: Five Transformative Lessons from a Quarter Century of Executive Experience","2025","1998","5","In 1998, I stepped into my first leadership role with a master's degree in manageme"
"VzElbecBTke30RM0jLUDNi","surviving-the-holiday-crunch-executive-strategies-for-maintaining-performance-through-year-end-pressure","Surviving the Holiday Crunch: Executive Strategies for Maintaining Performance Through Year-End Pressure","2025","2022","3","exhaustion led to a $400,000 contract oversight in December 2022. ""We were so focused on hitting our numbers that we missed a critical compl"
"VzElbecBTke30RM0jLUFZB","breaking-the-glass-ceiling-strategic-pathways-for-women-to-ascend-to-executive-leadership","Breaking the Glass Ceiling: Strategic Pathways for Women to Ascend to Executive Leadership","2025","2014","1","Motors under CEO Mary Barra. When she assumed leadership in 2014, she didn't mimic her predecessors' approaches. Instead, she implemented a"
"VzElbecBTke30RM0jLULwb","climate-inaction-equals-corporate-risk-the-lobbying-threat-to-business-leadership","Climate Inaction Equals Corporate Risk: The Lobbying Threat to Business Leadership","2025","2024","1","rporate Risk: The Lobbying Threat to Business Leadership In 2024, climate change is no longer a peripheral concern—it’s a boardroom priority"
"VzElbecBTke30RM0jLURJm","where-ancient-grandeur-meets-contemporary-excellence","Where Ancient Grandeur Meets Contemporary Excellence","2025","2012","2","itable and well-regarded, yet something felt incomplete. In 2012, fate intervened. While exploring the Languedoc region, they stumbled upon"
"VzElbecBTke30RM0jLURjP","formula-ones-elite-hospitality-revolution-redefining-premium-race-experiences-globally","Formula One's Elite Hospitality Revolution: Redefining Premium Race Experiences Globally","2025","2017","1","has never been stronger. A New Era of Fan Engagement Since 2017, Formula One has experienced a renaissance in popularity, particularly in m"
"VzElbecBTke30RM0jLUSGM","the-monk-who-built-a-media-empire","The Monk Who Built a Media Empire","2025","2013","1","The Monk Who Built a Media Empire In 2013, a young man named Jay Shetty sat in his childhood bedroom, surrounded by r"
"VzElbecBTke30RM0jLUTrD","darey-and-deola-art-alade-revolutionizing-industries-through-bold-entrepreneurial-vision","Darey and Deola Art Alade: Revolutionizing Industries Through Bold Entrepreneurial Vision","2025","2013","1","tionizing Industries Through Bold Entrepreneurial Vision In 2013, Lagos witnessed an unprecedented spectacle. Against the backdrop of a city"
"VzElbecBTke30RM0jLUU2C","strategic-downsizing-how-reducing-team-size-boosted-my-companys-bottom-line","Strategic Downsizing: How Reducing Team Size Boosted My Company's Bottom Line","2025","2023","1","wer resources*. I’m not alone in this shift. According to a 2023 McKinsey survey, 58% of executives now use external contractors for core fu"
"VzElbecBTke30RM0jT0dCI","powering-innovation-sundar-pichais-strategic-leadership-at-the-helm-of-google-and-alphabet","Powering Innovation: Sundar Pichai's Strategic Leadership at the Helm of Google and Alphabet","2025","1972","5","reshape how energy companies operate and innovate. Born in 1972 in Madurai, India, Pichai's journey from a resource-constrained environment"
"VzElbecBTke30RM0jT0dNH","powering-the-future-andy-jassys-strategic-vision-for-amazons-energy-driven-expansion","Powering the Future: Andy Jassy’s Strategic Vision for Amazon’s Energy-Driven Expansion","2025","1968","4","energy efficiency and innovation. Appointed as CEO in July 2021, Jassy inherited a company at the peak of its influence, with Amazon Web Se"
"VzElbecBTke30RM0jT0dYG","powering-the-future-elon-musks-high-stakes-bet-on-energy-innovation","Powering the Future: Elon Musk’s High-Stakes Bet on Energy Innovation","2025","1971","6","w industrial revolution. Born in Pretoria, South Africa, in 1971, Musk demonstrated an early aptitude for technology and innovation. By the"
"VzElbecBTke30RM0jT0qXk","purpose-driven-profit-how-one-ceo-is-transforming-philanthropy-through-technology","Purpose-Driven Profit: How One CEO is Transforming Philanthropy Through Technology","2025","2020","1","ertainty. We saw giving drop by 30% in the first quarter of 2020, which was terrifying. But then something remarkable happened. Companies re"
"iVn352lnQzrBdeP679jlTj","not-every-executive-aims-to-revolutionize-society-but","Not Every Executive Aims To Revolutionize Society, But Stoyana Natseva Knew Her Direction Would Be Unique. Subtly Influential, Purposefully Deliberate, And Spiritually Motivated, Her Objective Extends Beyond Guidanceit's To Inspire Enlightenment","","2025","1","ps others rediscover themselvesand ascend. Featured on July 2025 cover of Exeleon Magazines Empowering Women Leaders edition, she shares her"
