id,title,slug,writer,writer_slug,primary_category,publishedAt,_createdAt,_updatedAt,published_year,date_status
"CLZyEnOmHFQ0HoyBtIUHj2","Andrew Quinn on Commercial Services Innovation","andrew-quinn-on-commercial-services-innovation","Arjun Mehta","arjun-mehta","professional-services","2025-11-02T20:58:34.009Z","2025-11-01T23:56:55Z","2025-11-07T04:16:58Z","2025","ok"
"2i7iadib5QZf8Z2hekfHGE","Eurofins China's Strategic Expansion","eurofins-chinas-strategic-expansion","Alicia Gomez","alicia-gomez","professional-services","2025-11-02T20:58:30.319Z","2025-11-01T23:56:50Z","2025-11-07T04:15:35Z","2025","ok"
"2i7iadib5QZf8Z2hekfH6Y","Kento Miura on Content-Driven Innovation","kento-miura-on-content-driven-innovation","Aisha Farouk","aisha-farouk","professional-services","2025-11-02T20:58:25.924Z","2025-11-01T23:56:46Z","2025-11-07T04:15:34Z","2025","ok"
"CLZyEnOmHFQ0HoyBtIUHVA","Isabelle Hannedouche on Global Expansion and Strategic Vision","isabelle-hannedouche-on-global-expansion-and-strategic-vision","Sofia Alvarez","sofia-alvarez","professional-services","2025-11-02T20:58:22.250Z","2025-11-01T23:56:41Z","2025-11-07T04:16:57Z","2025","ok"
"CLZyEnOmHFQ0HoyBtIUHK4","Marie-Osmonde Le Roy de Lanauze-Molines on Strategic Vision","marie-osmonde-le-roy-de-lanauze-molines-on-strategic-vision","Sarah Johnson","sarah-johnson","professional-services","2025-11-02T20:58:18.407Z","2025-11-01T23:56:36Z","2025-11-07T04:16:56Z","2025","ok"
"2i7iadib5QZf8Z2hekfGqQ","Nora Fraser's Strategic Vision for Commercial Excellence","nora-frasers-strategic-vision-for-commercial-excellence","Raj Patel","raj-patel","professional-services","2025-11-02T20:58:15.409Z","2025-11-01T23:56:33Z","2025-11-07T04:15:33Z","2025","ok"
"CLZyEnOmHFQ0HoyBtIUGti","Jennifer Peabody on Accountable Agency Growth","jennifer-peabody-on-accountable-agency-growth","Priya Raman","priya-raman","professional-services","2025-11-02T20:58:11.499Z","2025-11-01T23:56:27Z","2025-11-07T04:16:55Z","2025","ok"
"CLZyEnOmHFQ0HoyBtIUGhE","Ricky Wong on Commercial Excellence","ricky-wong-on-commercial-excellence","Michael Chen","michael-chen","professional-services","2025-11-02T20:58:06.662Z","2025-11-01T23:56:22Z","2025-11-07T04:16:54Z","2025","ok"
"CLZyEnOmHFQ0HoyBtIUGaI","Xavier Gondaud's Vision for Aviation Innovation","xavier-gondauds-vision-for-aviation-innovation","Maya Whitfield","maya-whitfield","professional-services","2025-11-02T20:58:03.207Z","2025-11-01T23:56:18Z","2025-11-07T04:16:53Z","2025","ok"
"VzElbecBTke30RM0jT0qXk","Purpose-Driven Profit: How One CEO is Transforming Philanthropy Through Technology","purpose-driven-profit-how-one-ceo-is-transforming-philanthropy-through-technology","Martin Kessler","martin-kessler","changemakers-and-sustainability","2025-11-02T20:57:59.833Z","2025-11-02T20:58:00Z","2025-11-07T11:45:45Z","2025","ok"
"2i7iadib5QZf8Z2hekeurW","Australia's Premier Superyacht Event Unveils Elite Maritime Excellence","australias-premier-superyacht-event-unveils-elite-maritime-excellence","Linh Nguyen","linh-nguyen","opinion","2025-11-02T20:57:56.138Z","2025-11-01T23:36:30Z","2025-11-07T04:15:29Z","2025","ok"
"2i7iadib5QZf8Z2hekfs1G","Why Mid-Size Superyachts Are the Smart Choice for Discerning Executives","why-mid-size-superyachts-are-the-smart-choice-for-discerning-executives","Emma Williams","emma-williams","opinion","2025-11-02T20:57:52.180Z","2025-11-02T00:04:51Z","2025-11-07T04:16:40Z","2025","ok"
"2i7iadib5QZf8Z2hekfnKw","Luxury Wilderness Retreats: Reconnecting with Nature While Maintaining Executive Excellence","luxury-wilderness-retreats-reconnecting-with-nature-while-maintaining-executive-excellence","Elena Petrov","elena-petrov","opinion","2025-11-02T20:57:49.249Z","2025-11-02T00:02:41Z","2025-11-07T04:16:15Z","2025","ok"
"VzElbecBTke30RM0jLURJm","Where Ancient Grandeur Meets Contemporary Excellence","where-ancient-grandeur-meets-contemporary-excellence","David Okoro","david-okoro","opinion","2025-11-02T20:57:45.968Z","2025-11-02T00:02:35Z","2025-11-07T04:17:54Z","2025","ok"
"CLZyEnOmHFQ0HoyBtIUR0g","Strategic Insights from the World’s Largest Sand Island","strategic-insights-from-the-worlds-largest-sand-island","Carlos Mendes","carlos-mendes","opinion","2025-11-02T20:57:42.471Z","2025-11-02T00:02:31Z","2025-11-07T04:17:11Z","2025","ok"
"2i7iadib5QZf8Z2hekfmn4","London's Premier Sunday Roast Destinations for Business Executives","londons-premier-sunday-roast-destinations-for-business-executives","Arjun Mehta","arjun-mehta","opinion","2025-11-02T20:57:39.149Z","2025-11-02T00:02:21Z","2025-11-07T04:16:13Z","2025","ok"
"2i7iadib5QZf8Z2hekfmOs","Strategic Art Acquisition for Executive Portfolios","strategic-art-acquisition-for-executive-portfolios","Alicia Gomez","alicia-gomez","opinion","2025-11-02T20:57:34.299Z","2025-11-02T00:02:11Z","2025-11-07T04:16:10Z","2025","ok"
"2i7iadib5QZf8Z2hekfm8k","France's Premier Executive Retreat Experience","frances-premier-executive-retreat-experience","Aisha Farouk","aisha-farouk","opinion","2025-11-02T20:57:29.656Z","2025-11-02T00:02:04Z","2025-11-07T04:16:08Z","2025","ok"
"VzElbecBTke30RM0jLTbwS","Cultural Capitals of the Côte d'Azur: Strategic Destinations for Business and Leisure","cultural-capitals-of-the-cte-dazur-strategic-destinations-for-business-and-leisure","Sofia Alvarez","sofia-alvarez","opinion","2025-11-02T20:57:24.825Z","2025-11-01T23:59:53Z","2025-11-07T04:17:40Z","2025","ok"
"VzElbecBTke30RM0jLUVrh","Strategic Retirement Planning for Tech Leaders in the Digital Age","strategic-retirement-planning-for-tech-leaders-in-the-digital-age","Sarah Johnson","sarah-johnson","money-and-finance","2025-11-02T20:57:21.357Z","2025-11-02T00:03:52Z","2025-11-07T04:18:04Z","2025","ok"
"VzElbecBTke30RM0jLUVH5","Strategic Value Optimization: Essential Framework for Executive Leadership","strategic-value-optimization-essential-framework-for-executive-leadership","Raj Patel","raj-patel","money-and-finance","2025-11-02T20:57:17.535Z","2025-11-02T00:03:47Z","2025-11-07T04:18:03Z","2025","ok"
"CLZyEnOmHFQ0HoyBtIUTJY","Building Sustainable Leadership Through Core Principles","building-sustainable-leadership-through-core-principles","Priya Raman","priya-raman","money-and-finance","2025-11-02T20:57:12.878Z","2025-11-02T00:03:42Z","2025-11-07T04:17:14Z","2025","ok"
"2i7iadib5QZf8Z2hekfqSU","Strategic Commercial Real Estate Investment for Portfolio Optimization","strategic-commercial-real-estate-investment-for-portfolio-optimization","Michael Chen","michael-chen","money-and-finance","2025-11-02T20:57:09.802Z","2025-11-02T00:03:39Z","2025-11-07T04:16:26Z","2025","ok"
"2i7iadib5QZf8Z2hekfogo","Strategic Investment Framework for Executive Decision-Making","strategic-investment-framework-for-executive-decision-making","Maya Whitfield","maya-whitfield","money-and-finance","2025-11-02T20:57:06.558Z","2025-11-02T00:03:34Z","2025-11-07T04:16:24Z","2025","ok"
"VzElbecBTke30RM0jLUUVU","Why Residential Real Estate Is Losing Ground With Institutional Investors","why-residential-real-estate-is-losing-ground-with-institutional-investors","Martin Kessler","martin-kessler","money-and-finance","2025-11-02T20:57:03.233Z","2025-11-02T00:03:31Z","2025-11-07T04:18:02Z","2025","ok"
"VzElbecBTke30RM0jLUUKV","Strategic Moves for Subscription Market Leaders","strategic-moves-for-subscription-market-leaders","Linh Nguyen","linh-nguyen","money-and-finance","2025-11-02T20:56:59.122Z","2025-11-02T00:03:27Z","2025-11-07T04:18:01Z","2025","ok"
"VzElbecBTke30RM0jLTZa0","Why Residential Real Estate Is Losing Its Investment Appeal: A Market Reality Check","why-residential-real-estate-is-losing-its-investment-appeal-a-market-reality-check","Emma Williams","emma-williams","money-and-finance","2025-11-02T20:56:54.901Z","2025-11-01T23:59:17Z","2025-11-07T04:17:34Z","2025","ok"
"VzElbecBTke30RM0jLTZP1","Beyond the Monthly Bill: How Intelligent Subscriptions Are Reshaping Customer Loyalty","beyond-the-monthly-bill-how-intelligent-subscriptions-are-reshaping-customer-loyalty","Elena Petrov","elena-petrov","money-and-finance","2025-11-02T20:56:51.779Z","2025-11-01T23:59:12Z","2025-11-08T04:28:02Z","2025","ok"
"VzElbecBTke30RM0jLULeI","Essential Leadership Qualities That Drive Tech Startup Success","essential-leadership-qualities-that-drive-tech-startup-success","David Okoro","david-okoro","leadership","2025-11-02T20:56:46.399Z","2025-11-02T00:01:00Z","2025-11-07T04:17:46Z","2025","ok"
"2i7iadib5QZf8Z2hekfkOg","Time Management Strategies for Gen Z Leaders in the Modern Workplace","time-management-strategies-for-gen-z-leaders-in-the-modern-workplace","Carlos Mendes","carlos-mendes","leadership","2025-11-02T20:56:43.309Z","2025-11-02T00:00:56Z","2025-11-07T04:16:03Z","2025","ok"
"VzElbecBTke30RM0jLUDNi","Surviving the Holiday Crunch: Executive Strategies for Maintaining Performance Through Year-End Pressure","surviving-the-holiday-crunch-executive-strategies-for-maintaining-performance-through-year-end-pressure","Arjun Mehta","arjun-mehta","leadership","2025-11-02T20:56:40.057Z","2025-11-02T00:00:31Z","2025-11-07T04:17:42Z","2025","ok"
"VzElbecBTke30RM0jLTb3X","The Leadership Evolution: Five Transformative Lessons from a Quarter Century of Executive Experience","the-leadership-evolution-five-transformative-lessons-from-a-quarter-century-of-executive-experience","Alicia Gomez","alicia-gomez","leadership","2025-11-02T20:56:36.194Z","2025-11-01T23:59:33Z","2025-11-07T04:17:38Z","2025","ok"
"2i7iadib5QZf8Z2hekfnso","Samantha Tan's Strategic Vision Transforms Motorsport Industry Dynamics","samantha-tans-strategic-vision-transforms-motorsport-industry-dynamics","Aisha Farouk","aisha-farouk","innovation","2025-11-02T20:56:33.066Z","2025-11-02T00:03:05Z","2025-11-07T04:16:20Z","2025","ok"
"CLZyEnOmHFQ0HoyBtIUR7c","Redefining Leadership for the Modern Executive","redefining-leadership-for-the-modern-executive","Sofia Alvarez","sofia-alvarez","innovation","2025-11-02T20:56:29.021Z","2025-11-02T00:03:00Z","2025-11-07T04:17:12Z","2025","ok"
"2i7iadib5QZf8Z2hekfnj8","Women Leading the Charge: How Female Executives Are Reshaping Corporate Culture","women-leading-the-charge-how-female-executives-are-reshaping-corporate-culture","Sarah Johnson","sarah-johnson","innovation","2025-11-02T20:56:24.973Z","2025-11-02T00:02:56Z","2025-11-07T04:16:19Z","2025","ok"
"VzElbecBTke30RM0jLUSGM","The Monk Who Built a Media Empire","the-monk-who-built-a-media-empire","Raj Patel","raj-patel","innovation","2025-11-02T20:56:21.536Z","2025-11-02T00:02:52Z","2025-11-07T04:17:57Z","2025","ok"
"2i7iadib5QZf8Z2hekfnb4","From Court to Boardroom - A Champion's Business Playbook","from-court-to-boardroom-a-champions-business-playbook","Priya Raman","priya-raman","innovation","2025-11-02T20:56:17.712Z","2025-11-02T00:02:48Z","2025-11-07T04:16:18Z","2025","ok"
"2i7iadib5QZf8Z2hekfNf0","Beyond Compliance: How Cognitive Transformation Drives Sustainable Business Innovation","beyond-compliance-how-cognitive-transformation-drives-sustainable-business-innovation","Michael Chen","michael-chen","innovation","2025-11-02T20:56:14.221Z","2025-11-01T23:59:30Z","2025-11-07T04:15:52Z","2025","ok"
"VzElbecBTke30RM0jLTaaF","The Hidden Trillion-Dollar Water Infrastructure Crisis Threatening Global Business","the-hidden-trillion-dollar-water-infrastructure-crisis-threatening-global-business","Maya Whitfield","maya-whitfield","innovation","2025-11-02T20:56:09.662Z","2025-11-01T23:59:27Z","2025-11-07T04:17:37Z","2025","ok"
"VzElbecBTke30RM0jLTZE2","The Monastic Mindset: How Jay Shetty Transformed Ancient Wisdom into Modern Media Empire","the-monastic-mindset-how-jay-shetty-transformed-ancient-wisdom-into-modern-media-empire","Martin Kessler","martin-kessler","innovation","2025-11-02T20:56:05.627Z","2025-11-01T23:59:08Z","2025-11-07T04:17:31Z","2025","ok"
"CLZyEnOmHFQ0HoyBtIUKiu","From Court to Corporation: How Champions Like Sloane Stephens Are Redefining Success in Business and Life","from-court-to-corporation-how-champions-like-sloane-stephens-are-redefining-success-in-business-and-life","Linh Nguyen","linh-nguyen","innovation","2025-11-02T20:56:02.112Z","2025-11-01T23:59:05Z","2025-11-08T04:27:58Z","2025","ok"
"VzElbecBTke30RM0jLUYE9","Global Retreats for Peak Performance","global-retreats-for-peak-performance","Emma Williams","emma-williams","healthcare","2025-11-02T20:55:58.700Z","2025-11-02T00:04:38Z","2025-11-07T04:18:07Z","2025","ok"
"CLZyEnOmHFQ0HoyBtIUTcy","Fiuggi's Ancient Waters: Modern Wellness Lessons for Executive Leadership","fiuggis-ancient-waters-modern-wellness-lessons-for-executive-leadership","Elena Petrov","elena-petrov","healthcare","2025-11-02T20:55:55.304Z","2025-11-02T00:04:35Z","2025-11-07T04:17:15Z","2025","ok"
"2i7iadib5QZf8Z2hekfrZq","Premium Sleep Sanctuaries for Optimal Performance","premium-sleep-sanctuaries-for-optimal-performance","David Okoro","david-okoro","healthcare","2025-11-02T20:55:51.735Z","2025-11-02T00:04:30Z","2025-11-07T04:16:36Z","2025","ok"
"VzElbecBTke30RM0jLUXZs","Hong Kong's Premier Spa Experiences for Busy Leaders","hong-kongs-premier-spa-experiences-for-busy-leaders","Carlos Mendes","carlos-mendes","healthcare","2025-11-02T20:55:47.625Z","2025-11-02T00:04:27Z","2025-11-07T04:18:06Z","2025","ok"
"2i7iadib5QZf8Z2hekfrLK","Elite Leadership Retreats for Peak Performance","elite-leadership-retreats-for-peak-performance","Arjun Mehta","arjun-mehta","healthcare","2025-11-02T20:55:43.937Z","2025-11-02T00:04:23Z","2025-11-07T04:16:35Z","2025","ok"
"2i7iadib5QZf8Z2hekfrDG","Why Strategic Rest Drives Executive Performance and Innovation","why-strategic-rest-drives-executive-performance-and-innovation","Alicia Gomez","alicia-gomez","healthcare","2025-11-02T20:55:39.218Z","2025-11-02T00:04:20Z","2025-11-07T04:16:34Z","2025","ok"
"2i7iadib5QZf8Z2hekfr1y","How Smart Leaders Prioritize Recovery for Peak Performance","how-smart-leaders-prioritize-recovery-for-peak-performance","Aisha Farouk","aisha-farouk","healthcare","2025-11-02T20:55:35.954Z","2025-11-02T00:04:17Z","2025-11-07T04:16:33Z","2025","ok"
"2i7iadib5QZf8Z2hekfqx8","How Top Leaders Are Using Science to Optimize Performance and Decision-Making","how-top-leaders-are-using-science-to-optimize-performance-and-decision-making","Sofia Alvarez","sofia-alvarez","healthcare","2025-11-02T20:55:32.108Z","2025-11-02T00:04:13Z","2025-11-07T04:16:31Z","2025","ok"
"2i7iadib5QZf8Z2hekfqsI","The Hidden Costs of Digital Distraction on Executive Performance","the-hidden-costs-of-digital-distraction-on-executive-performance","Sarah Johnson","sarah-johnson","healthcare","2025-11-02T20:55:28.681Z","2025-11-02T00:04:09Z","2025-11-07T04:16:30Z","2025","ok"
"2i7iadib5QZf8Z2hekfqic","Kearney's Counterintuitive Strategy: Slash Product Lines to Skyrocket Revenue","kearneys-counterintuitive-strategy-slash-product-lines-to-skyrocket-revenue","Priya Raman","priya-raman","healthcare","2025-11-02T20:55:21.928Z","2025-11-02T00:04:01Z","2025-11-07T04:16:27Z","2025","ok"
"VzElbecBTke30RM0jLUWKz","Gratitude as a Strategic Advantage for Executive Leadership","gratitude-as-a-strategic-advantage-for-executive-leadership","Michael Chen","michael-chen","healthcare","2025-11-02T20:55:17.654Z","2025-11-02T00:03:56Z","2025-11-08T04:28:04Z","2025","ok"
"CLZyEnOmHFQ0HoyBtIUMT6","Strategic Resilience: How Executive Wellness Programs Are Transforming Corporate Leadership Performance","strategic-resilience-how-executive-wellness-programs-are-transforming-corporate-leadership-performance","Maya Whitfield","maya-whitfield","healthcare","2025-11-02T20:55:13.697Z","2025-11-02T00:00:10Z","2025-11-08T04:27:59Z","2025","ok"
"VzElbecBTke30RM0jLTcM5","The Productivity Paradox: Why Strategic Rest is Your Company's Competitive Advantage","the-productivity-paradox-why-strategic-rest-is-your-companys-competitive-advantage","Martin Kessler","martin-kessler","healthcare","2025-11-02T20:55:08.440Z","2025-11-02T00:00:06Z","2025-11-07T04:17:41Z","2025","ok"
"VzElbecBTke30RM0jLTaAc","The Paradox of Plenty: Why Strategic Product Reduction Drives Revenue Growth","the-paradox-of-plenty-why-strategic-product-reduction-drives-revenue-growth","Linh Nguyen","linh-nguyen","healthcare","2025-11-02T20:55:03.643Z","2025-11-01T23:59:23Z","2025-11-07T04:17:36Z","2025","ok"
"VzElbecBTke30RM0jLTZvy","The Gratitude Advantage: How Appreciation Drives Sustainable Business Performance","the-gratitude-advantage-how-appreciation-drives-sustainable-business-performance","Emma Williams","emma-williams","healthcare","2025-11-02T20:54:59.945Z","2025-11-01T23:59:20Z","2025-11-07T04:17:36Z","2025","ok"
"VzElbecBTke30RM0jT0dYG","Powering the Future: Elon Musk’s High-Stakes Bet on Energy Innovation","powering-the-future-elon-musks-high-stakes-bet-on-energy-innovation","Elena Petrov","elena-petrov","innovation","2025-11-02T20:54:55.955Z","2025-11-02T20:54:56Z","2025-11-07T11:45:58Z","2025","ok"
"VzElbecBTke30RM0jT0dNH","Powering the Future: Andy Jassy’s Strategic Vision for Amazon’s Energy-Driven Expansion","powering-the-future-andy-jassys-strategic-vision-for-amazons-energy-driven-expansion","David Okoro","david-okoro","innovation","2025-11-02T20:54:53.146Z","2025-11-02T20:54:53Z","2025-11-07T11:45:56Z","2025","ok"
"VzElbecBTke30RM0jT0dCI","Powering Innovation: Sundar Pichai's Strategic Leadership at the Helm of Google and Alphabet","powering-innovation-sundar-pichais-strategic-leadership-at-the-helm-of-google-and-alphabet","Carlos Mendes","carlos-mendes","innovation","2025-11-02T20:54:49.873Z","2025-11-02T20:54:50Z","2025-11-07T11:45:55Z","2025","ok"
"2i7iadib5QZf8Z2heoh2PG","Powering Progress: How Strategic B2B Engagement Drives Sustainable Growth in the Energy Sector","powering-progress-how-strategic-b2b-engagement-drives-sustainable-growth-in-the-energy-sector","Arjun Mehta","arjun-mehta","innovation","2025-11-02T20:54:46.015Z","2025-11-02T20:54:46Z","2025-11-07T11:45:53Z","2025","ok"
"VzElbecBTke30RM0jT0cmf","Powering Progress: How Rachael Evans Is Energizing the Automotive Industry with Leadership and Balance","powering-progress-how-rachael-evans-is-energizing-the-automotive-industry-with-leadership-and-balance","Alicia Gomez","alicia-gomez","innovation","2025-11-02T20:54:42.822Z","2025-11-02T20:54:43Z","2025-11-07T11:45:54Z","2025","ok"
"VzElbecBTke30RM0jLTXvU","Mohammad Dehghani on Science and Technology Innovation","mohammad-dehghani-on-science-and-technology-innovation","Aisha Farouk","aisha-farouk","education","2025-11-02T20:54:39.246Z","2025-11-01T23:58:36Z","2025-11-07T04:17:29Z","2025","ok"
"2i7iadib5QZf8Z2hekfL26","Stephen Dackin's Vision for Educational Excellence","stephen-dackins-vision-for-educational-excellence","Sofia Alvarez","sofia-alvarez","education","2025-11-02T20:54:34.928Z","2025-11-01T23:58:32Z","2025-11-08T04:27:53Z","2025","ok"
"CLZyEnOmHFQ0HoyBtIUK0W","Justin Schwartz's Strategic Vision for Educational Innovation","justin-schwartzs-strategic-vision-for-educational-innovation","Sarah Johnson","sarah-johnson","education","2025-11-02T20:54:30.558Z","2025-11-01T23:58:27Z","2025-11-07T04:17:03Z","2025","ok"
"VzElbecBTke30RM0jLTXHD","Anders Bjarklev's Vision for Educational Transformation","anders-bjarklevs-vision-for-educational-transformation","Raj Patel","raj-patel","education","2025-11-02T20:54:26.626Z","2025-11-01T23:58:24Z","2025-11-07T04:17:28Z","2025","ok"
"VzElbecBTke30RM0jLTX2Z","William Wilson's Vision for Transformative Education","william-wilsons-vision-for-transformative-education","Priya Raman","priya-raman","education","2025-11-02T20:54:22.037Z","2025-11-01T23:58:20Z","2025-11-07T04:17:27Z","2025","ok"
"CLZyEnOmHFQ0HoyBtIUJlG","Martha Dunagin Saunders on Educational Innovation","martha-dunagin-saunders-on-educational-innovation","Michael Chen","michael-chen","education","2025-11-02T20:54:17.767Z","2025-11-01T23:58:15Z","2025-11-08T04:27:57Z","2025","ok"
"2i7iadib5QZf8Z2hekfK1C","Stuart Croft's Vision for Educational Transformation","stuart-crofts-vision-for-educational-transformation","Maya Whitfield","maya-whitfield","education","2025-11-02T20:54:14.508Z","2025-11-01T23:58:10Z","2025-11-08T04:27:52Z","2025","ok"
"2i7iadib5QZf8Z2hekfJrW","Rhea Law's Vision for Educational Excellence","rhea-laws-vision-for-educational-excellence","Martin Kessler","martin-kessler","education","2025-11-02T20:54:10.362Z","2025-11-01T23:58:06Z","2025-11-08T04:27:51Z","2025","ok"
"VzElbecBTke30RM0jLTWGy","Joan Guàrdia's Vision for Educational Transformation","joan-gurdias-vision-for-educational-transformation","Linh Nguyen","linh-nguyen","education","2025-11-02T20:54:06.461Z","2025-11-01T23:58:03Z","2025-11-07T04:17:26Z","2025","ok"
"2i7iadib5QZf8Z2hekfJbO","Jacqueline Edmondson on Transforming Education Through Innovation","jacqueline-edmondson-on-transforming-education-through-innovation","Emma Williams","emma-williams","education","2025-11-02T20:54:02.835Z","2025-11-01T23:57:58Z","2025-11-07T04:15:44Z","2025","ok"
"2i7iadib5QZf8Z2hekfJWY","Ryan Pinto on Revolutionizing Education for Tomorrow's Leaders","ryan-pinto-on-revolutionizing-education-for-tomorrows-leaders","Elena Petrov","elena-petrov","education","2025-11-02T20:53:58.148Z","2025-11-01T23:57:54Z","2025-11-07T04:15:43Z","2025","ok"
"CLZyEnOmHFQ0HoyBtIU44u","John Farahi's Vision for Entertainment Innovation","john-farahis-vision-for-entertainment-innovation","David Okoro","david-okoro","cxo-interview","2025-11-02T20:53:54.335Z","2025-11-01T23:36:27Z","2025-11-07T04:16:45Z","2025","ok"
"2i7iadib5QZf8Z2hekfLq6","Bob Bagby's Vision for Entertainment Innovation","bob-bagbys-vision-for-entertainment-innovation","Carlos Mendes","carlos-mendes","cxo-interview","2025-11-02T20:53:50.274Z","2025-11-01T23:58:57Z","2025-11-08T04:27:54Z","2025","ok"
"2i7iadib5QZf8Z2hekfLeo","Harjinder Shergill Chima's Strategic Vision","harjinder-shergill-chimas-strategic-vision","Arjun Mehta","arjun-mehta","cxo-interview","2025-11-02T20:53:46.999Z","2025-11-01T23:58:52Z","2025-11-07T04:15:50Z","2025","ok"
