slug,title,category,has_author,has_writer,issue
frances-premier-executive-retreat-experience,"France's Premier Executive Retreat Experience",opinion,true,true,has_issue
from-court-to-boardroom-a-champions-business-playbook,"From Court to Boardroom - A Champion's Business Playbook",innovation,true,true,has_issue
from-court-to-corporation-how-champions-like-sloane-stephens-are-redefining-success-in-business-and-life,"From Court to Corporation: How Champions Like Sloane Stephens Are Redefining Success in Business and Life",innovation,true,true,has_issue
from-naval-steel-to-nautical-nirvana-how-military-vessels-are-revolutionizing-the-superyacht-industry,"From Naval Steel to Nautical Nirvana: How Military Vessels Are Revolutionizing the Superyacht Industry",changemakers-and-sustainability,true,true,has_issue
from-vision-to-market-victory-the-s-blueprint-for-concept-commercialization,"From Vision to Market Victory: The 's Blueprint for Concept Commercialization",startups,true,true,has_issue
from-vision-to-market-victory-the-entrepreneurs-blueprint-for-concept-commercialization,"From Vision to Market Victory: The Entrepreneur's Blueprint for Concept Commercialization",startups,true,true,has_issue
george-constantinous-construction-empire,"George Constantinou's Construction Empire",construction-and-mining,true,true,has_issue
global-retreats-for-peak-performance,"Global Retreats for Peak Performance",healthcare,true,true,has_issue
gratitude-as-a-strategic-advantage-for-executive-leadership,"Gratitude as a Strategic Advantage for Executive Leadership",healthcare,true,true,has_issue
green-libations-how-singapores-eco-conscious-bars-are-redefining-the-hospitality-industry,"Green Libations: How Singapore's Eco-Conscious Bars Are Redefining the Hospitality Industry",changemakers-and-sustainability,true,true,has_issue
growth-with-integrity-scaling-your-business-while-preserving-core-values,"Growth with Integrity: Scaling Your Business While Preserving Core Values",,true,true,has_issue
harjinder-shergill-chimas-strategic-vision,"Harjinder Shergill Chima's Strategic Vision",cxo-interview,true,true,has_issue
henry-mccanns-blueprint-for-construction-industry-excellence,"Henry McCann's Blueprint for Construction Industry Excellence",construction-and-mining,true,true,has_issue
hong-kongs-premier-spa-experiences-for-busy-leaders,"Hong Kong's Premier Spa Experiences for Busy Leaders",healthcare,true,true,has_issue
how-smart-leaders-prioritize-recovery-for-peak-performance,"How Smart Leaders Prioritize Recovery for Peak Performance",healthcare,true,true,has_issue
how-top-leaders-are-using-science-to-optimize-performance-and-decision-making,"How Top Leaders Are Using Science to Optimize Performance and Decision-Making",healthcare,true,true,has_issue
inside-the-rooms-where-decisions-shape-industries,"Inside the Rooms Where Decisions Shape Industries",leadership,true,true,has_issue
isabelle-hannedouche-on-global-expansion-and-strategic-vision,"Isabelle Hannedouche on Global Expansion and Strategic Vision",professional-services,true,true,has_issue
jacqueline-edmondson-on-transforming-education-through-innovation,"Jacqueline Edmondson on Transforming Education Through Innovation",education,true,true,has_issue
jennifer-peabody-on-accountable-agency-growth,"Jennifer Peabody on Accountable Agency Growth",professional-services,true,true,has_issue
joan-gurdias-vision-for-educational-transformation,"Joan Guàrdia's Vision for Educational Transformation",education,true,true,has_issue
john-farahis-vision-for-entertainment-innovation,"John Farahi's Vision for Entertainment Innovation",cxo-interview,true,true,has_issue
john-zangardi,"John Zangardi",cxo-interview,true,true,has_issue
josh-moffat-on-commercial-excellence,"Josh Moffat on Commercial Excellence",professional-services,true,true,has_issue
justin-schwartzs-strategic-vision-for-educational-innovation,"Justin Schwartz's Strategic Vision for Educational Innovation",education,true,true,has_issue
kearneys-counterintuitive-strategy-slash-product-lines-to-skyrocket-revenue,"Kearney's Counterintuitive Strategy: Slash Product Lines to Skyrocket Revenue",healthcare,true,true,has_issue
kento-miura-on-content-driven-innovation,"Kento Miura on Content-Driven Innovation",professional-services,true,true,has_issue
londons-premier-sunday-roast-destinations-for-business-executives,"London's Premier Sunday Roast Destinations for Business Executives",opinion,true,true,has_issue
luxury-wilderness-retreats-reconnecting-with-nature-while-maintaining-executive-excellence,"Luxury Wilderness Retreats: Reconnecting with Nature While Maintaining Executive Excellence",opinion,true,true,has_issue
manish-gargs-vertical-vision,"Manish Garg's Vertical Vision",construction-and-mining,true,true,has_issue
marie-osmonde-le-roy-de-lanauze-molines-on-strategic-vision,"Marie-Osmonde Le Roy de Lanauze-Molines on Strategic Vision",professional-services,true,true,has_issue
martha-dunagin-saunders-on-educational-innovation,"Martha Dunagin Saunders on Educational Innovation",education,true,true,has_issue
martijn-blanken-on-aviations-next-frontier,"Martijn Blanken on Aviation's Next Frontier",automotive-and-logistics,true,true,has_issue
mohammad-dehghani-on-science-and-technology-innovation,"Mohammad Dehghani on Science and Technology Innovation",education,true,true,has_issue
navigating-uncertainty-evan-greenbergs-strategic-leadership-at-chubb,"Navigating Uncertainty: Evan Greenberg’s Strategic Leadership at Chubb",money-and-finance,true,true,has_issue
new-englands-emerging-markets-strategic-investment-opportunities-for-2024,"New England's Emerging Markets: Strategic Investment Opportunities for 2024",changemakers-and-sustainability,true,true,has_issue
nora-frasers-strategic-vision-for-commercial-excellence,"Nora Fraser's Strategic Vision for Commercial Excellence",professional-services,true,true,has_issue
olga-denysiuk,"Olga Denysiuk — Executive Interview",cxo-interview,true,false,no_issue
pankaj-bansal,"Pankaj Bansal",cxo-interview,true,true,has_issue
powering-innovation-sundar-pichais-strategic-leadership-at-the-helm-of-google-and-alphabet,"Powering Innovation: Sundar Pichai's Strategic Leadership at the Helm of Google and Alphabet",innovation,true,true,has_issue
powering-progress-how-rachael-evans-is-energizing-the-automotive-industry-with-leadership-and-balance,"Powering Progress: How Rachael Evans Is Energizing the Automotive Industry with Leadership and Balance",innovation,true,true,has_issue
powering-progress-how-strategic-b2b-engagement-drives-sustainable-growth-in-the-energy-sector,"Powering Progress: How Strategic B2B Engagement Drives Sustainable Growth in the Energy Sector",innovation,true,true,has_issue
powering-the-future-andy-jassys-strategic-vision-for-amazons-energy-driven-expansion,"Powering the Future: Andy Jassy’s Strategic Vision for Amazon’s Energy-Driven Expansion",innovation,true,true,has_issue
powering-the-future-elon-musks-high-stakes-bet-on-energy-innovation,"Powering the Future: Elon Musk’s High-Stakes Bet on Energy Innovation",innovation,true,true,has_issue
premium-local-wines-and-culinary-excellence,"Premium Local Wines and Culinary Excellence",changemakers-and-sustainability,true,true,has_issue
premium-sleep-sanctuaries-for-optimal-performance,"Premium Sleep Sanctuaries for Optimal Performance",healthcare,true,true,has_issue
purpose-driven-profit-how-one-ceo-is-transforming-philanthropy-through-technology,"Purpose-Driven Profit: How One CEO is Transforming Philanthropy Through Technology",changemakers-and-sustainability,true,true,has_issue
r-mohans-strategic-vision-for-automotive-innovation,"R Mohan's Strategic Vision for Automotive Innovation",automotive-and-logistics,true,true,has_issue
redefining-leadership-for-the-modern-executive,"Redefining Leadership for the Modern Executive",innovation,true,true,has_issue
rhea-laws-vision-for-educational-excellence,"Rhea Law's Vision for Educational Excellence",education,true,true,has_issue
richelle-singson-michaels-aviation-vision,"Richelle Singson Michael's Aviation Vision",automotive-and-logistics,true,true,has_issue
ricky-wong-on-commercial-excellence,"Ricky Wong on Commercial Excellence",professional-services,true,true,has_issue
ryan-pinto-on-revolutionizing-education-for-tomorrows-leaders,"Ryan Pinto on Revolutionizing Education for Tomorrow's Leaders",education,true,true,has_issue
rgis-lacotes-olympic-sized-vision-for-automotive-aviation,"Régis Lacote's Olympic-Sized Vision for Automotive Aviation",automotive-and-logistics,true,true,has_issue
sml-isuzus-strategic-transformation-in-motion,"SML Isuzu's Strategic Transformation in Motion",automotive-and-logistics,true,true,has_issue
samantha-tans-strategic-vision-transforms-motorsport-industry-dynamics,"Samantha Tan's Strategic Vision Transforms Motorsport Industry Dynamics",innovation,true,true,has_issue
sarada-bhushan-mohanty-on-construction-innovation,"Sarada Bhushan Mohanty on Construction Innovation",construction-and-mining,true,true,has_issue
singapores-leading-sustainable-bars-where-corporate-responsibility-meets-culinary-excellence,"Singapore's Leading Sustainable Bars: Where Corporate Responsibility Meets Culinary Excellence",changemakers-and-sustainability,true,true,has_issue
sriram-iyer-on-sustainable-palm-oil-innovation,"Sriram Iyer on Sustainable Palm Oil Innovation",automotive-and-logistics,true,true,has_issue
stephen-dackins-vision-for-educational-excellence,"Stephen Dackin's Vision for Educational Excellence",education,true,true,has_issue
steve-boland-on-elevating-construction-standards,"Steve Boland on Elevating Construction Standards",construction-and-mining,true,true,has_issue
stoyana-natseva,"Stoyana Natseva",cxo-interview,true,true,has_issue
not-every-executive-aims-to-revolutionize-society-but,"Stoyana Natseva: Purposeful Leadership",,true,true,has_issue
strategic-art-acquisition-for-executive-portfolios,"Strategic Art Acquisition for Executive Portfolios",opinion,true,true,has_issue
strategic-commercial-real-estate-investment-for-portfolio-optimization,"Strategic Commercial Real Estate Investment for Portfolio Optimization",money-and-finance,true,true,has_issue
strategic-downsizing-how-reducing-team-size-boosted-my-companys-bottom-line,"Strategic Downsizing: How Reducing Team Size Boosted My Company's Bottom Line",startups,true,true,has_issue
strategic-global-expansion-mastering-international-market-entry-for-modern-enterprises,"Strategic Global Expansion: Mastering International Market Entry for Modern Enterprises",startups,true,true,has_issue
strategic-insights-from-the-worlds-largest-sand-island,"Strategic Insights from the World’s Largest Sand Island",opinion,true,true,has_issue
strategic-investment-framework-for-executive-decision-making,"Strategic Investment Framework for Executive Decision-Making",money-and-finance,true,true,has_issue
strategic-leadership-in-the-digital-age,"Strategic Leadership in the Digital Age",,true,true,has_issue
strategic-leadership-in-the-modern-enterprise,"Strategic Leadership in the Modern Enterprise",leadership,true,true,has_issue
strategic-leadership-driving-enterprise-growth-in-the-digital-age,"Strategic Leadership: Driving Enterprise Growth in the Digital Age",,true,true,has_issue
strategic-leadership-navigating-tomorrows-business-challenges,"Strategic Leadership: Navigating Tomorrow's Business Challenges",leadership,true,true,has_issue
strategic-leadership-navigating-tomorrows-business-challenges-today,"Strategic Leadership: Navigating Tomorrow's Business Challenges Today",leadership,true,true,has_issue
strategic-market-entry-transforming-bold-ideas-into-profitable-ventures,"Strategic Market Entry: Transforming Bold Ideas into Profitable Ventures",startups,true,true,has_issue
strategic-moves-for-subscription-market-leaders,"Strategic Moves for Subscription Market Leaders",money-and-finance,true,true,has_issue
strategic-navigation-how-superyacht-innovation-drives-maritime-business-evolution,"Strategic Navigation: How Superyacht Innovation Drives Maritime Business Evolution",changemakers-and-sustainability,true,true,has_issue
strategic-resilience-how-executive-wellness-programs-are-transforming-corporate-leadership-performance,"Strategic Resilience: How Executive Wellness Programs Are Transforming Corporate Leadership Performance",healthcare,true,true,has_issue
strategic-retirement-planning-for-tech-leaders-in-the-digital-age,"Strategic Retirement Planning for Tech Leaders in the Digital Age",money-and-finance,true,true,has_issue
strategic-value-optimization-essential-framework-for-executive-leadership,"Strategic Value Optimization: Essential Framework for Executive Leadership",money-and-finance,true,true,has_issue
stuart-crofts-vision-for-educational-transformation,"Stuart Croft's Vision for Educational Transformation",education,true,true,has_issue
superyacht-soire-2022-redefining-maritime-luxury-for-elite-executives,"Superyacht Soirée 2022: Redefining Maritime Luxury for Elite Executives",changemakers-and-sustainability,true,true,has_issue
supreet-nagi,"Supreet Nagi: Driving Customer-Centric Growth",cxo-interview,true,true,has_issue
surviving-the-holiday-crunch-executive-strategies-for-maintaining-performance-through-year-end-pressure,"Surviving the Holiday Crunch: Executive Strategies for Maintaining Performance Through Year-End Pressure",leadership,true,true,has_issue
swami-aniruddha,"Swami Aniruddha: Principles for Modern Leadership",cxo-interview,true,true,has_issue
swami-iyers-strategic-vision-for-construction-innovation,"Swami Iyer's Strategic Vision for Construction Innovation",construction-and-mining,true,true,has_issue
the-decision-makers-shaping-tomorrows-business-landscape,"The Decision-Makers Shaping Tomorrow's Business Landscape",leadership,true,true,has_issue
the-floating-boardroom-how-seine-river-cruises-are-redefining-executive-retreats-in-the-heart-of-paris,"The Floating Boardroom: How Seine River Cruises Are Redefining Executive Retreats in the Heart of Paris",changemakers-and-sustainability,true,true,has_issue
the-gratitude-advantage-how-appreciation-drives-sustainable-business-performance,"The Gratitude Advantage: How Appreciation Drives Sustainable Business Performance",healthcare,true,true,has_issue
the-hidden-costs-of-digital-distraction-on-executive-performance,"The Hidden Costs of Digital Distraction on Executive Performance",healthcare,true,true,has_issue
the-hidden-trillion-dollar-water-infrastructure-crisis-threatening-global-business,"The Hidden Trillion-Dollar Water Infrastructure Crisis Threatening Global Business",innovation,true,true,has_issue
the-leadership-evolution-five-transformative-lessons-from-a-quarter-century-of-executive-experience,"The Leadership Evolution: Five Transformative Lessons from a Quarter Century of Executive Experience",leadership,true,true,has_issue
the-monastic-mindset-how-jay-shetty-transformed-ancient-wisdom-into-modern-media-empire,"The Monastic Mindset: How Jay Shetty Transformed Ancient Wisdom into Modern Media Empire",innovation,true,true,has_issue
the-monk-who-built-a-media-empire,"The Monk Who Built a Media Empire",innovation,true,true,has_issue
the-oceans-hidden-gem-why-pearl-meat-is-revolutionizing-sustainable-seafood-markets,"The Ocean's Hidden Gem: Why Pearl Meat is Revolutionizing Sustainable Seafood Markets",changemakers-and-sustainability,true,true,has_issue
the-oceans-premium-protein-revolution,"The Ocean's Premium Protein Revolution",changemakers-and-sustainability,true,true,has_issue
the-paradox-of-plenty-why-strategic-product-reduction-drives-revenue-growth,"The Paradox of Plenty: Why Strategic Product Reduction Drives Revenue Growth",healthcare,true,true,has_issue
the-productivity-paradox-why-strategic-rest-is-your-companys-competitive-advantage,"The Productivity Paradox: Why Strategic Rest is Your Company's Competitive Advantage",healthcare,true,true,has_issue
the-visionaries-shaping-tomorrows-business-landscape,"The Visionaries Shaping Tomorrow's Business Landscape",innovation,true,true,has_issue
the-visionary-leaders-shaping-tomorrows-business-landscape,"The Visionary Leaders Shaping Tomorrow's Business Landscape",leadership,true,true,has_issue
time-management-strategies-for-gen-z-leaders-in-the-modern-workplace,"Time Management Strategies for Gen Z Leaders in the Modern Workplace",leadership,true,true,has_issue
tirthankar-roys-steel-industry-vision,"Tirthankar Roy's Steel Industry Vision",construction-and-mining,true,true,has_issue
transforming-naval-heritage-into-premium-maritime-experiences,"Transforming Naval Heritage into Premium Maritime Experiences",changemakers-and-sustainability,true,true,has_issue
twinchok-tanthuwanits-strategic-vision-for-automotive-aviation,"Twinchok Tanthuwanit's Strategic Vision for Automotive Aviation",automotive-and-logistics,true,true,has_issue
unlocking-executive-performance-through-daily-movement,"Unlocking Executive Performance Through Daily Movement",healthcare,true,true,has_issue
vic-cheungs-vision-for-automotive-innovation,"Vic Cheung's Vision for Automotive Innovation",automotive-and-logistics,true,true,has_issue
vikas-duttas-strategic-vision-for-global-logistics-innovation,"Vikas Dutta's Strategic Vision for Global Logistics Innovation",automotive-and-logistics,true,true,has_issue
vincent-ngs-high-rise-vision,"Vincent Ng's High-Rise Vision",construction-and-mining,true,true,has_issue
where-ancient-grandeur-meets-contemporary-excellence,"Where Ancient Grandeur Meets Contemporary Excellence",opinion,true,true,has_issue
where-business-meets-artistic-excellence,"Where Business Meets Artistic Excellence",changemakers-and-sustainability,true,true,has_issue
why-mid-size-superyachts-are-the-smart-choice-for-discerning-executives,"Why Mid-Size Superyachts Are the Smart Choice for Discerning Executives",opinion,true,true,has_issue
why-residential-real-estate-is-losing-ground-with-institutional-investors,"Why Residential Real Estate Is Losing Ground With Institutional Investors",money-and-finance,true,true,has_issue
why-residential-real-estate-is-losing-its-investment-appeal-a-market-reality-check,"Why Residential Real Estate Is Losing Its Investment Appeal: A Market Reality Check",money-and-finance,true,true,has_issue
why-strategic-rest-drives-executive-performance-and-innovation,"Why Strategic Rest Drives Executive Performance and Innovation",healthcare,true,true,has_issue
william-wilsons-vision-for-transformative-education,"William Wilson's Vision for Transformative Education",education,true,true,has_issue
women-leading-the-charge-how-female-executives-are-reshaping-corporate-culture,"Women Leading the Charge: How Female Executives Are Reshaping Corporate Culture",innovation,true,true,has_issue
xavier-gondauds-vision-for-aviation-innovation,"Xavier Gondaud's Vision for Aviation Innovation",professional-services,true,true,has_issue
